epoch,acc
0,0.99
1,0.995
2,0.9966666666666667
3,0.9975
4,0.998
5,0.9983333333333333
6,0.9985714285714286
7,0.99875
8,0.9988888888888889
9,0.999
10,0.9990909090909091
11,0.9991666666666666
12,0.9992307692307693
13,0.9992857142857143
14,0.9993333333333333
15,0.999375
16,0.9994117647058823
17,0.9994444444444445
18,0.9994736842105263
19,0.9995
20,0.9995238095238095
21,0.9995454545454545
22,0.9995652173913043
23,0.9995833333333334
24,0.9996
25,0.9996153846153846
26,0.9996296296296296
27,0.9996428571428572
28,0.9996551724137931
29,0.9996666666666667
30,0.9996774193548387
31,0.9996875
32,0.9996969696969698
33,0.9997058823529412
34,0.9997142857142857
35,0.9997222222222222
36,0.9997297297297297
37,0.9997368421052631
38,0.9997435897435898
39,0.99975
40,0.9997560975609756
41,0.9997619047619047
42,0.9997674418604651
43,0.9997727272727273
44,0.9997777777777778
45,0.9997826086956522
46,0.9997872340425532
47,0.9997916666666666
48,0.9997959183673469
49,0.9998
50,0.9998039215686274
51,0.9998076923076923
52,0.999811320754717
53,0.9998148148148148
54,0.9998181818181818
55,0.9998214285714285
56,0.9998245614035087
57,0.9998275862068966
58,0.9998305084745762
59,0.9998333333333334
60,0.9998360655737705
61,0.9998387096774194
62,0.9998412698412699
63,0.99984375
64,0.9998461538461538
65,0.9998484848484849
66,0.9998507462686567
67,0.9998529411764706
68,0.9998550724637681
69,0.9998571428571429
70,0.9998591549295774
71,0.9998611111111111
72,0.9998630136986302
73,0.9998648648648648
74,0.9998666666666667
75,0.9998684210526316
76,0.9998701298701299
77,0.9998717948717949
78,0.9998734177215189
79,0.999875
80,0.9998765432098765
81,0.9998780487804878
82,0.9998795180722891
83,0.9998809523809524
84,0.9998823529411764
85,0.9998837209302326
86,0.9998850574712643
87,0.9998863636363636
88,0.9998876404494382
89,0.9998888888888889
90,0.9998901098901098
91,0.9998913043478261
92,0.9998924731182796
93,0.9998936170212765
94,0.9998947368421053
95,0.9998958333333333
96,0.9998969072164948
97,0.9998979591836735
98,0.99989898989899
99,0.9999
100,0.9999009900990099
101,0.9999019607843137
102,0.9999029126213592
103,0.9999038461538462
104,0.9999047619047619
105,0.9999056603773585
106,0.9999065420560748
107,0.9999074074074074
108,0.9999082568807339
109,0.9999090909090909
110,0.9999099099099099
111,0.9999107142857143
112,0.9999115044247787
113,0.9999122807017544
114,0.9999130434782608
115,0.9999137931034483
116,0.9999145299145299
117,0.9999152542372881
118,0.9999159663865547
119,0.9999166666666667
120,0.9999173553719009
121,0.9999180327868853
122,0.9999186991869918
123,0.9999193548387096
124,0.99992
125,0.9999206349206349
126,0.9999212598425197
127,0.999921875
128,0.999922480620155
129,0.9999230769230769
130,0.9999236641221374
131,0.9999242424242424
132,0.9999248120300752
133,0.9999253731343284
134,0.9999259259259259
135,0.9999264705882352
136,0.9999270072992701
137,0.999927536231884
138,0.9999280575539569
139,0.9999285714285714
140,0.9999290780141844
141,0.9999295774647887
142,0.9999300699300699
143,0.9999305555555555
144,0.9999310344827587
145,0.9999315068493151
146,0.9999319727891156
147,0.9999324324324325
148,0.9999328859060402
149,0.9999333333333333
150,0.9999337748344371
151,0.9999342105263158
152,0.9999346405228758
153,0.9999350649350649
154,0.9999354838709678
155,0.9999358974358974
156,0.999936305732484
157,0.9999367088607595
158,0.999937106918239
159,0.9999375
160,0.9999378881987577
161,0.9999382716049383
162,0.9999386503067484
163,0.999939024390244
164,0.9999393939393939
165,0.9999397590361446
166,0.999940119760479
167,0.9999404761904762
168,0.9999408284023669
169,0.9999411764705882
170,0.9999415204678362
171,0.9999418604651162
172,0.999942196531792
173,0.9999425287356322
174,0.9999428571428571
175,0.9999431818181819
176,0.9999435028248588
177,0.9999438202247191
178,0.9999441340782123
